name,type_name,parent,status,rank,address
Actinorugispora,Actinorugispora,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/actinorugispora
Eikenella,Eikenella,Neisseriaceae,correct name,genus,https://lpsn.dsmz.de/genus/eikenella
Brevitalea,Brevitalea,Arenimicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/brevitalea
Thialkalicoccus,Thialkalicoccus,Chromatiaceae,misspelling,genus,https://lpsn.dsmz.de/genus/thialkalicoccus
Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/limosilactobacillus
Phorcysia,Phorcysia,Desulfurobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/phorcysia
Anaerovibrio,Anaerovibrio,Selenomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerovibrio
Apibacter,Apibacter,Weeksellaceae,correct name,genus,https://lpsn.dsmz.de/genus/apibacter
Sandaracinobacteroides,Sandaracinobacteroides,Sphingosinicellaceae,correct name,genus,https://lpsn.dsmz.de/genus/sandaracinobacteroides
Xylanivirga,Xylanivirga,Xylanivirgaceae,correct name,genus,https://lpsn.dsmz.de/genus/xylanivirga
Desertihabitans,Desertihabitans,Propionibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/desertihabitans
Octadecabacter,Octadecabacter,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/octadecabacter
Zeimonas,Zeimonas,Burkholderiaceae,correct name,genus,https://lpsn.dsmz.de/genus/zeimonas
Treponema,Treponema,Treponemataceae,correct name,genus,https://lpsn.dsmz.de/genus/treponema
Thiorhodococcus,Thiorhodococcus,Chromatiaceae,correct name,genus,https://lpsn.dsmz.de/genus/thiorhodococcus
Lishizhenia,Lishizhenia,Crocinitomicaceae,correct name,genus,https://lpsn.dsmz.de/genus/lishizhenia
Leucobacter,Leucobacter,Microbacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/leucobacter
Paradesulfovibrio,Paradesulfovibrio,Desulfovibrionaceae,correct name,genus,https://lpsn.dsmz.de/genus/paradesulfovibrio
Risungbinella,Risungbinella,Thermoactinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/risungbinella
Phycisphaera,Phycisphaera,Phycisphaeraceae,correct name,genus,https://lpsn.dsmz.de/genus/phycisphaera
Halomarina,Halomarina,Halobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/halomarina
Porcincola,Porcincola,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/porcincola
Parvicella,Parvicella,Parvicellaceae,correct name,genus,https://lpsn.dsmz.de/genus/parvicella
Desulfosalsimonas,Desulfosalsimonas,Desulfobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfosalsimonas
Gluconobacter,Gluconobacter,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/gluconobacter
Desulfuromonas,Desulfuromonas,Desulfuromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfuromonas
Thermosynergistes,Thermosynergistes,Thermosynergistaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermosynergistes
Oceanipulchritudo,Oceanipulchritudo,Puniceicoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/oceanipulchritudo
Oharaeibacter,Oharaeibacter,Pleomorphomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/oharaeibacter
Allosalinactinospora,Allosalinactinospora,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/allosalinactinospora
Legionella,Legionella,Legionellaceae,correct name,genus,https://lpsn.dsmz.de/genus/legionella
Nitrosococcus,Nitrosococcus,Chromatiaceae,correct name,genus,https://lpsn.dsmz.de/genus/nitrosococcus
Heliorestis,Heliorestis,Heliobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/heliorestis
Methyloterrigena,Methyloterrigena,Devosiaceae,correct name,genus,https://lpsn.dsmz.de/genus/methyloterrigena
Halalkalirubrum,Halalkalirubrum,Halorubraceae,correct name,genus,https://lpsn.dsmz.de/genus/halalkalirubrum
Garritya,Garritya,Bernardetiaceae,correct name,genus,https://lpsn.dsmz.de/genus/garritya
Reticulibacter,Reticulibacter,Reticulibacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/reticulibacter
Halalkaliarchaeum,Halalkaliarchaeum,Halorubraceae,correct name,genus,https://lpsn.dsmz.de/genus/halalkaliarchaeum
Boseongicola,Boseongicola,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/boseongicola
Paenihalocynthiibacter,Paenihalocynthiibacter,Paracoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/paenihalocynthiibacter
Methylocapsa,Methylocapsa,Beijerinckiaceae,correct name,genus,https://lpsn.dsmz.de/genus/methylocapsa
Mycobacterium,Mycobacterium,Mycobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/mycobacterium
Rhizocola,Rhizocola,Micromonosporaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhizocola
Desulfofalx,Desulfofalx,Peptococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfofalx
Desulfonema,Desulfonema,Desulfobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfonema
Mechercharimyces,Mechercharimyces,Thermoactinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/mechercharimyces
Phaeodactylibacter,Phaeodactylibacter,Lewinellaceae,correct name,genus,https://lpsn.dsmz.de/genus/phaeodactylibacter
Nitritalea,Nitritalea,Cyclobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/nitritalea
Oceanirhabdus,Oceanirhabdus,Clostridiaceae,correct name,genus,https://lpsn.dsmz.de/genus/oceanirhabdus
Saccharedens,Saccharedens,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/saccharedens
Gramella,Gramella,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/gramella
Parerythrobacter,Parerythrobacter,Erythrobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/parerythrobacter
Fuchsiella,Fuchsiella,Halobacteroidaceae,correct name,genus,https://lpsn.dsmz.de/genus/fuchsiella
Faecalicoccus,Faecalicoccus,Erysipelotrichaceae,correct name,genus,https://lpsn.dsmz.de/genus/faecalicoccus
Parahaliea,Parahaliea,Halieaceae,correct name,genus,https://lpsn.dsmz.de/genus/parahaliea
Novisyntrophococcus,Novisyntrophococcus,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/novisyntrophococcus
Phyllobacterium,Phyllobacterium,Phyllobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/phyllobacterium
Ferrimonas,Ferrimonas,Ferrimonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/ferrimonas
Gelria,Gelria,Thermoanaerobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/gelria
Paramoritella,Paramoritella,Moritellaceae,correct name,genus,https://lpsn.dsmz.de/genus/paramoritella
Anaeroglobus,Anaeroglobus,Veillonellaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaeroglobus
Pseudorivibacter,Pseudorivibacter,[Burkholderiales; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/pseudorivibacter
Glycomyces,Glycomyces,Glycomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/glycomyces
Phaselicystis,Phaselicystis,Phaselicystaceae,correct name,genus,https://lpsn.dsmz.de/genus/phaselicystis
