genus_name,type_species,parental_family,lpsn_no,nom_type,status,address
Vandammella,Vandammella animalimorsus,Comamonadaceae,26420,26441,correct name,https://lpsn.dsmz.de/genus/vandammella
Pukyongiella,Pukyongiella litopenaei,Roseobacteraceae,8159,8227,correct name,https://lpsn.dsmz.de/genus/pukyongiella
Prochlorococcus,Prochlorococcus marinus,Synechococcaceae,517316,7950,correct name,https://lpsn.dsmz.de/genus/prochlorococcus
Enemella,Enemella evansiae,Propionibacteriaceae,14507,14580,correct name,https://lpsn.dsmz.de/genus/enemella
Sphingomonas,Sphingomonas paucimobilis,Sphingomonadaceae,516629,781021,correct name,https://lpsn.dsmz.de/genus/sphingomonas
Marinibactrum,Marinibactrum halimedae,[Gammaproteobacteria; not assigned to family],518828,793498,correct name,https://lpsn.dsmz.de/genus/marinibactrum
Ectothiorhodospira,Ectothiorhodospira mobilis,Ectothiorhodospiraceae,515563,775874,correct name,https://lpsn.dsmz.de/genus/ectothiorhodospira
Halalkalibacter,Halalkalibacter krulwichiae,Bacillaceae,26522,26622,correct name,https://lpsn.dsmz.de/genus/halalkalibacter
Microvirga,Microvirga subterranea,Methylobacteriaceae,516103,778266,correct name,https://lpsn.dsmz.de/genus/microvirga
Perexilibacter,Perexilibacter aurantiacus,Flammeovirgaceae,517565,786305,correct name,https://lpsn.dsmz.de/genus/perexilibacter
Phormidium,Phormidium lucidum,Phormidiaceae,6341,7040,correct name,https://lpsn.dsmz.de/genus/phormidium
Salilacibacter,Salilacibacter albus,Glycomycetaceae,518967,794254,correct name,https://lpsn.dsmz.de/genus/salilacibacter
Albidoferax,Albidoferax ferrireducens,Comamonadaceae,517911,788153,misspelling,https://lpsn.dsmz.de/genus/albidoferax
Miniphocaeibacter,Miniphocaeibacter massiliensis,Peptoniphilaceae,24714,24869,correct name,https://lpsn.dsmz.de/genus/miniphocaeibacter
Methanobacterium,Methanobacterium formicicum,Methanobacteriaceae,517064,777795,correct name,https://lpsn.dsmz.de/genus/methanobacterium
Spongiimicrobium,Spongiimicrobium salis,Flavobacteriaceae,519065,794724,correct name,https://lpsn.dsmz.de/genus/spongiimicrobium
Stenotrophomonas,Stenotrophomonas maltophilia,Lysobacteraceae,516670,781249,correct name,https://lpsn.dsmz.de/genus/stenotrophomonas
Planktotalea,Planktotalea frisia,Roseobacteraceae,518222,790006,correct name,https://lpsn.dsmz.de/genus/planktotalea
Lacimonas,Lacimonas salitolerans,Roseobacteraceae,518854,793632,correct name,https://lpsn.dsmz.de/genus/lacimonas
Chloroflexus,Chloroflexus aurantiacus,Chloroflexaceae,516996,774668,correct name,https://lpsn.dsmz.de/genus/chloroflexus
Wukongibacter,Wukongibacter baidiensis,Peptostreptococcaceae,519079,794822,correct name,https://lpsn.dsmz.de/genus/wukongibacter
Nitrobacter,Nitrobacter winogradskyi,Nitrobacteraceae,516179,778674,correct name,https://lpsn.dsmz.de/genus/nitrobacter
Roseobacter,Roseobacter litoralis,Roseobacteraceae,516504,780579,correct name,https://lpsn.dsmz.de/genus/roseobacter
Hypericibacter,Hypericibacter terrae,Rhodospirillaceae,4962,5859,correct name,https://lpsn.dsmz.de/genus/hypericibacter
Muricoccus,Muricoccus roseus,Acetobacteraceae,516131,778372,correct name,https://lpsn.dsmz.de/genus/muricoccus
Prolinoborus,Prolinoborus fasciculus,Neisseriaceae,517319,784693,correct name,https://lpsn.dsmz.de/genus/prolinoborus
Rossellomorea,Rossellomorea aquimaris,Bacillaceae,14531,14785,correct name,https://lpsn.dsmz.de/genus/rossellomorea
Capillibacterium,Capillibacterium thermochitinicola,[Bacillota; not assigned to family],18707,18713,correct name,https://lpsn.dsmz.de/genus/capillibacterium
Halochromatium,Halochromatium salexigens,Chromatiaceae,515755,776726,correct name,https://lpsn.dsmz.de/genus/halochromatium
Roseinatronobacter,Roseinatronobacter thiooxidans,Paracoccaceae,516499,780569,correct name,https://lpsn.dsmz.de/genus/roseinatronobacter
Sinonostocopsis,Sinonostocopsis desmoides,Nostocaceae,39551,39611,correct name,https://lpsn.dsmz.de/genus/sinonostocopsis
Marinomonas,Marinomonas communis,Oceanospirillaceae,516016,777713,correct name,https://lpsn.dsmz.de/genus/marinomonas
Parafrigoribacterium,Parafrigoribacterium mesophilum,Microbacteriaceae,519090,794875,correct name,https://lpsn.dsmz.de/genus/parafrigoribacterium
Thermosulfurimonas,Thermosulfurimonas dismutans,Thermodesulfobacteriaceae,518269,790271,correct name,https://lpsn.dsmz.de/genus/thermosulfurimonas
Litoribacter,Litoribacter ruber,Cytophagaceae,518042,788955,correct name,https://lpsn.dsmz.de/genus/litoribacter
Herminiimonas,Herminiimonas fonticola,Oxalobacteraceae,515333,784012,correct name,https://lpsn.dsmz.de/genus/herminiimonas
Croceitalea,Croceitalea eckloniae,Flavobacteriaceae,517825,787611,correct name,https://lpsn.dsmz.de/genus/croceitalea
Zunongwangia,Zunongwangia profunda,Flavobacteriaceae,517604,786449,correct name,https://lpsn.dsmz.de/genus/zunongwangia
Anaerohalosphaera,Anaerohalosphaera lusitana,Anaerohalosphaeraceae,4949,5762,correct name,https://lpsn.dsmz.de/genus/anaerohalosphaera
Gimibacter,Gimibacter soli,Temperatibacteraceae,39092,39094,correct name,https://lpsn.dsmz.de/genus/gimibacter
Halotalea,Halotalea alkalilenta,Halomonadaceae,515771,786706,correct name,https://lpsn.dsmz.de/genus/halotalea
Glycomyces,Glycomyces harbinensis,Glycomycetaceae,515715,776561,correct name,https://lpsn.dsmz.de/genus/glycomyces
Fannyhessea,Fannyhessea vaginae,Atopobiaceae,520431,798326,correct name,https://lpsn.dsmz.de/genus/fannyhessea
Rapidithrix,Rapidithrix thailandica,Flammeovirgaceae,517677,786823,correct name,https://lpsn.dsmz.de/genus/rapidithrix
Chromohalobacter,Chromohalobacter marismortui,Halomonadaceae,515366,774704,correct name,https://lpsn.dsmz.de/genus/chromohalobacter
Saccharobesus,Saccharobesus litoralis,Alteromonadaceae,24202,24513,correct name,https://lpsn.dsmz.de/genus/saccharobesus
Tepidimonas,Tepidimonas ignava,Comamonadaceae,516744,782413,correct name,https://lpsn.dsmz.de/genus/tepidimonas
Lentibacillus,Lentibacillus salicampi,Bacillaceae,515937,777475,correct name,https://lpsn.dsmz.de/genus/lentibacillus
Crenobacter,Crenobacter luteus,Neisseriaceae,518652,792421,correct name,https://lpsn.dsmz.de/genus/crenobacter
Caviibacterium,Caviibacterium pharyngocola,Pasteurellaceae,519330,796392,correct name,https://lpsn.dsmz.de/genus/caviibacterium
Odoribacter,Odoribacter splanchnicus,Odoribacteraceae,517748,787189,correct name,https://lpsn.dsmz.de/genus/odoribacter
Antricoccus,Antricoccus suffuscus,Antricoccaceae,518845,793558,correct name,https://lpsn.dsmz.de/genus/antricoccus
Algisphaera,Algisphaera agarilytica,Phycisphaeraceae,518540,791772,correct name,https://lpsn.dsmz.de/genus/algisphaera
Hyperthermus,Hyperthermus butylicus,Pyrodictiaceae,517056,776965,correct name,https://lpsn.dsmz.de/genus/hyperthermus
Halopseudomonas,Halopseudomonas pertucinogena,Pseudomonadaceae,21216,21262,correct name,https://lpsn.dsmz.de/genus/halopseudomonas
Dankookia,Dankookia rubra,Acetobacteraceae,518999,794456,correct name,https://lpsn.dsmz.de/genus/dankookia
Cyanoplacoma,Cyanoplacoma vesiculosa,Entophysalidaceae,22556,38048,correct name,https://lpsn.dsmz.de/genus/cyanoplacoma
Longimonas,Longimonas halophila,Salinibacteraceae,518748,792924,correct name,https://lpsn.dsmz.de/genus/longimonas
Emcibacter,Emcibacter nanhaiensis,Emcibacteraceae,518758,792986,correct name,https://lpsn.dsmz.de/genus/emcibacter
Chimaeribacter,Chimaeribacter arupi,Yersiniaceae,4972,5907,correct name,https://lpsn.dsmz.de/genus/chimaeribacter
Roseivivax,Roseivivax halodurans,Roseobacteraceae,516501,780571,correct name,https://lpsn.dsmz.de/genus/roseivivax
Cytophaga,Cytophaga hutchinsonii,Cytophagaceae,515462,775394,correct name,https://lpsn.dsmz.de/genus/cytophaga
Pelolinea,Pelolinea submarina,Anaerolineaceae,518517,791638,correct name,https://lpsn.dsmz.de/genus/pelolinea
Doliocatella,Doliocatella formosa,Stigonemataceae,6229,8033,correct name,https://lpsn.dsmz.de/genus/doliocatella
Lampropedia,Lampropedia hyalina,Comamonadaceae,515920,777435,correct name,https://lpsn.dsmz.de/genus/lampropedia
Halomarina,Halomarina oriensis,Halobacteriaceae,518077,789122,correct name,https://lpsn.dsmz.de/genus/halomarina
Nereida,Nereida ignava,Roseobacteraceae,516167,778648,correct name,https://lpsn.dsmz.de/genus/nereida
Vampirovibrio,Vampirovibrio chlorellavorus,Pseudobdellovibrionaceae,517384,785139,correct name,https://lpsn.dsmz.de/genus/vampirovibrio
Franklinella,Franklinella schreckenbergeri,Comamonadaceae,26572,26573,correct name,https://lpsn.dsmz.de/genus/franklinella
Nitratireductor,Nitratireductor aquibiodomus,Phyllobacteriaceae,516176,778669,correct name,https://lpsn.dsmz.de/genus/nitratireductor
Pectobacterium,Pectobacterium carotovorum,Pectobacteriaceae,516273,779198,correct name,https://lpsn.dsmz.de/genus/pectobacterium
Ostreibacterium,Ostreibacterium oceani,Ostreibacteriaceae,19639,19999,correct name,https://lpsn.dsmz.de/genus/ostreibacterium
